Id,Label,timeset,account,1,2,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
93,93,"<[8575152.0, 8864142.0]>",0x14c7f67c741eac52d2c287030cd0b08b7e721a6d,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
94,94,"<[8575152.0, 8864142.0]>",0x8a172e43a882290a00b0e3057b89daf3c3715257,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
95,95,"<[8575152.0, 8864142.0]>",0x155545f982d0a6a3b91c29c9fc1862149880e243,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
96,96,"<[8575152.0, 8864142.0]>",0x500ed1ec332aaecef1821a8d209cddeeec91d9c9,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
97,97,"<[8575152.0, 8864142.0]>",0x732650d0141818c0f8e6e13429e3be0f49997dfc,8575152,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
98,98,"<[8575182.0, 8864142.0]>",0x5c8db196a0a7b09515a3968d0293b793ac8ad3d9,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
99,99,"<[8575182.0, 8864142.0]>",0xd50336c7b5bb91dbe44b12bed2117b7da014317b,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
100,100,"<[8575182.0, 8864142.0]>",0x6fbbce723b5ebd070b933c70dcc23f97332ac263,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
101,101,"<[8575182.0, 8864142.0]>",0xcc677e4150bec0a405d5f666d556987ff23ed851,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
102,102,"<[8575182.0, 8864142.0]>",0x74047c372390156222a8d547b9e2d8fb9b3f68e3,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
103,103,"<[8575182.0, 8864142.0]>",0xbd2c08c1c1cdb60d1945eec4bc0bb698b2f673c2,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
104,104,"<[8575182.0, 8864142.0]>",0x2d118d43da6f4003e9a75416afd6638139d408bc,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
105,105,"<[8575182.0, 8864142.0]>",0xcfcfbb4a8ebf1b3e1ab03aa325fa8b28c98efcfb,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
106,106,"<[8575182.0, 8864142.0]>",0x73ffd10b3a2ba03529ecd12fb38c4c2af0b60d7c,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
107,107,"<[8575182.0, 8864142.0]>",0xf127e773fab33a492cd9f918b7f082eb52ae2463,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
108,108,"<[8575182.0, 8864142.0]>",0x2098cec6f4efce55fa0c06a1238da39fc240573e,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
109,109,"<[8575182.0, 8864142.0]>",0xc71170b5f776eb727955d170388d01aa685b9adc,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
110,110,"<[8575182.0, 8864142.0]>",0x28fb7da95ebf10030bcfe06de237fe60a04bae7a,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
111,111,"<[8575182.0, 8864142.0]>",0xa1c6511dab0db61e3eba336b551ca06eb6754038,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
112,112,"<[8575182.0, 8864142.0]>",0x17bc0e4a05d2254c878f67c4da804ef12f8f1821,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
113,113,"<[8575182.0, 8864142.0]>",0x9a4e3c097889ba7cb23d5cff87d3f6f360b69059,8575182,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
114,114,"<[8575185.0, 8864142.0]>",0x071fb3de72faa9223ed535d28cca29a71ea757a3,8575185,8864142,1,0.000113,0.08928,0.015743,8570805,0.002375,1,0,1,1,0,1,0,0,0,0,0.000078,0
